trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,file,color,angle,bio_control,key_response.keys,key_response.corr,globalClock,fix_cross_starttime,dot_stim_starttime,response_starttime,key_response.rt,frameRate,expName,session,participant,Number of Trials,
0,0,0,0,Playtennis_Control,"(255, 0, 0)",1,1,[],0,4.33012485504,0.361712932587,1.50846886635,1.50846886635,[],59.8716720743,bio_motion_task,001,999,40,
1,0,1,0,Jump,"(0, 100, 0)",1,0,down,0,8.9393928051,4.48492074013,6.02194166183,6.02194166183,0.595607042313,59.8716720743,bio_motion_task,001,999,40,
2,0,2,0,Playpool,"(0, 100, 0)",0,0,down,0,12.9320149422,9.35477185249,10.1360638142,10.1360638142,0.618620157242,59.8716720743,bio_motion_task,001,999,40,
3,0,3,0,Crawl,"(0, 100, 0)",0,0,down,0,17.6158900261,13.1241779327,14.708414793,14.708414793,1.2015478611,59.8716720743,bio_motion_task,001,999,40,
4,0,4,0,Pump_Control,"(255, 0, 0)",1,1,[],0,22.1828370094,17.8079879284,19.2924749851,19.2924749851,[],59.8716720743,bio_motion_task,001,999,40,
5,0,5,0,Spade,"(255, 0, 0)",1,0,[],0,26.6996178627,22.3761548996,23.8101878166,23.8101878166,[],59.8716720743,bio_motion_task,001,999,40,
6,0,6,0,Cycle,"(255, 0, 0)",1,0,down,0,30.6506359577,26.9424557686,27.7855317593,27.7855317593,1.08413910866,59.8716720743,bio_motion_task,001,999,40,
7,0,7,0,Paint,"(0, 100, 0)",1,0,[],0,35.1337118149,30.8084359169,32.226941824,32.226941824,[],59.8716720743,bio_motion_task,001,999,40,
8,0,8,0,Cycle_Control,"(255, 0, 0)",1,1,[],0,40.0351970196,35.382229805,37.1730728149,37.1730728149,[],59.8716720743,bio_motion_task,001,999,40,
9,0,9,0,Chop_Control,"(0, 100, 0)",1,1,[],0,44.1024668217,40.1988220215,41.1994099617,41.1994099617,[],59.8716720743,bio_motion_task,001,999,40,
10,0,10,0,Crawl_Control,"(255, 0, 0)",1,1,[],0,49.0696628094,44.2741928101,46.1689889431,46.1689889431,[],59.8716720743,bio_motion_task,001,999,40,
11,0,11,0,Drive,"(255, 0, 0)",0,0,[],0,53.6869900227,49.4838378429,50.9075989723,50.9075989723,[],59.8716720743,bio_motion_task,001,999,40,
12,0,12,0,Drive_Control,"(0, 100, 0)",1,1,[],0,57.904296875,54.0946438313,55.1259667873,55.1259667873,[],59.8716720743,bio_motion_task,001,999,40,
13,0,13,0,Playtennis,"(255, 0, 0)",0,0,[],0,62.4882600307,58.2621629238,59.6806490421,59.6806490421,[],59.8716720743,bio_motion_task,001,999,40,
14,0,14,0,Row_Control,"(255, 0, 0)",1,1,[],0,66.7387259007,62.7347669601,63.875513792,63.875513792,[],59.8716720743,bio_motion_task,001,999,40,
15,0,15,0,Stir_Control,"(255, 0, 0)",1,1,[],0,71.1225697994,66.8591556549,68.1795268059,68.1795268059,[],59.8716720743,bio_motion_task,001,999,40,
16,0,16,0,Walk,"(255, 0, 0)",0,0,[],0,75.8899350166,71.2463319302,72.9697577953,72.9697577953,[],59.8716720743,bio_motion_task,001,999,40,
17,0,17,0,Peddle_Control,"(0, 100, 0)",1,1,[],0,80.6078779697,76.0616159439,77.6944358349,77.6944358349,[],59.8716720743,bio_motion_task,001,999,40,
18,0,18,0,Row,"(255, 0, 0)",0,0,[],0,84.791123867,80.8530609608,81.9272658825,81.9272658825,[],59.8716720743,bio_motion_task,001,999,40,
19,0,19,0,Saw,"(0, 100, 0)",0,0,[],0,89.7158129215,84.8749608994,86.7469117641,86.7469117641,[],59.8716720743,bio_motion_task,001,999,40,
20,0,20,0,Salute_Control,"(255, 0, 0)",1,1,[],0,94.2256369591,90.0499019623,91.4061739445,91.4061739445,[],59.8716720743,bio_motion_task,001,999,40,
21,0,21,0,Sweep,"(255, 0, 0)",0,0,[],0,98.542263031,94.3732397556,95.6301128864,95.6301128864,[],59.8716720743,bio_motion_task,001,999,40,
22,0,22,0,Chop,"(255, 0, 0)",0,0,[],0,102.776744843,98.6928088665,99.8489978313,99.8489978313,[],59.8716720743,bio_motion_task,001,999,40,
23,0,23,0,Wave_Control,"(0, 100, 0)",1,1,[],0,107.594146967,103.038356066,104.738353014,104.738353014,[],59.8716720743,bio_motion_task,001,999,40,
24,0,24,0,Paint_Control,"(255, 0, 0)",1,1,[],0,111.94855094,107.771974802,109.047073841,109.047073841,[],59.8716720743,bio_motion_task,001,999,40,
25,0,25,0,Pump,"(255, 0, 0)",1,0,[],0,116.112138033,112.144086838,113.222941875,113.222941875,[],59.8716720743,bio_motion_task,001,999,40,
26,0,26,0,Spade_Control,"(0, 100, 0)",1,1,[],0,120.0790658,116.294779778,117.183586836,117.183586836,[],59.8716720743,bio_motion_task,001,999,40,
27,0,27,0,Salute,"(255, 0, 0)",1,0,[],0,123.996217012,120.402239799,121.171290874,121.171290874,[],59.8716720743,bio_motion_task,001,999,40,
28,0,28,0,Stir,"(255, 0, 0)",0,0,[],0,128.913486958,124.11360383,125.969110012,125.969110012,[],59.8716720743,bio_motion_task,001,999,40,
29,0,29,0,Walk_Control,"(255, 0, 0)",1,1,[],0,133.764293909,129.031676769,130.836768866,130.836768866,[],59.8716720743,bio_motion_task,001,999,40,
30,0,30,0,Sweep_Control,"(255, 0, 0)",1,1,[],0,138.431464911,133.902015924,135.513834,135.513834,[],59.8716720743,bio_motion_task,001,999,40,
