trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,file,color,angle,bio_control,key_response.keys,key_response.corr,globalClock,fix_cross_starttime,dot_stim_starttime,response_starttime,key_response.rt,frameRate,expName,session,participant,Number of Trials,
0,0,0,0,Drink_Control,"(255, 0, 0)",1,1,[],0,4.82884097099,0.246475934982,1.96550297737,1.96550297737,[],60.0269343115,bio_motion_task,001,999,40,
1,0,1,0,Chop_Control,"(255, 0, 0)",1,1,[],0,9.0296459198,4.98322486877,6.11982893944,6.11982893944,[],60.0269343115,bio_motion_task,001,999,40,
2,0,2,0,Salute_Control,"(0, 100, 0)",1,1,down,0,13.9470539093,9.3634288311,11.1267387867,11.1267387867,1.03492617607,60.0269343115,bio_motion_task,001,999,40,
3,0,3,0,Jump,"(255, 0, 0)",1,0,[],0,17.9836859703,14.117839098,15.0761041641,15.0761041641,[],60.0269343115,bio_motion_task,001,999,40,
4,0,4,0,Pump,"(0, 100, 0)",1,0,down,0,22.4321129322,18.194123745,19.5328018665,19.5328018665,0.801409006119,60.0269343115,bio_motion_task,001,999,40,
5,0,5,0,Wave,"(0, 100, 0)",1,0,[],0,27.2147369385,22.6934158802,24.3539550304,24.3539550304,[],60.0269343115,bio_motion_task,001,999,40,
6,0,6,0,Paint_Control,"(0, 100, 0)",1,1,down,0,31.4160590172,27.3755850792,28.4927492142,28.4927492142,0.824573993683,60.0269343115,bio_motion_task,001,999,40,
7,0,7,0,Row_Control,"(255, 0, 0)",1,1,[],0,35.5329270363,31.6811208725,32.678319931,32.678319931,[],60.0269343115,bio_motion_task,001,999,40,
8,0,8,0,Saw,"(255, 0, 0)",0,0,[],0,39.9835569859,35.6588320732,37.042981863,37.042981863,[],60.0269343115,bio_motion_task,001,999,40,
9,0,9,0,Stir,"(255, 0, 0)",0,0,[],0,44.0507588387,40.1399319172,41.1421847343,41.1421847343,[],60.0269343115,bio_motion_task,001,999,40,
10,0,10,0,Wave_Control,"(255, 0, 0)",1,1,[],0,48.240046978,44.3321449757,45.3777301311,45.3777301311,[],60.0269343115,bio_motion_task,001,999,40,
11,0,11,0,Saw_Control,"(0, 100, 0)",1,1,down,0,52.2850298882,48.3443558216,49.3504369259,49.3504369259,0.967798948288,60.0269343115,bio_motion_task,001,999,40,
12,0,12,0,Stir_Control,"(0, 100, 0)",1,1,down,0,56.6691310406,52.4028189182,53.7413668633,53.7413668633,1.26829314232,60.0269343115,bio_motion_task,001,999,40,
13,0,13,0,Sweep_Control,"(0, 100, 0)",1,1,down,0,61.6698868275,56.8234009743,58.7433879375,58.7433879375,0.718178033829,60.0269343115,bio_motion_task,001,999,40,
14,0,14,0,Mow_Control,"(255, 0, 0)",1,1,[],0,66.4142098427,61.8339629173,63.5158927441,63.5158927441,[],60.0269343115,bio_motion_task,001,999,40,
15,0,15,0,Walk,"(255, 0, 0)",0,0,[],0,70.5701539516,66.5499169827,67.6522848606,67.6522848606,[],60.0269343115,bio_motion_task,001,999,40,
16,0,16,0,Drink,"(255, 0, 0)",1,0,[],0,74.9049470425,70.8042538166,72.0353469849,72.0353469849,[],60.0269343115,bio_motion_task,001,999,40,
17,0,17,0,Peddle_Control,"(255, 0, 0)",1,1,[],0,79.0051188469,75.0750119686,76.1038639545,76.1038639545,[],60.0269343115,bio_motion_task,001,999,40,
18,0,18,0,Paint,"(255, 0, 0)",1,0,[],0,83.2726008892,79.1811549664,80.3776929379,80.3776929379,[],60.0269343115,bio_motion_task,001,999,40,
19,0,19,0,Spade,"(255, 0, 0)",1,0,[],0,87.3560438156,83.464537859,84.4660599232,84.4660599232,[],60.0269343115,bio_motion_task,001,999,40,
20,0,20,0,Walk_Control,"(255, 0, 0)",1,1,[],0,91.7737879753,87.5018997192,88.8599607944,88.8599607944,[],60.0269343115,bio_motion_task,001,999,40,
21,0,21,0,Row,"(255, 0, 0)",0,0,[],0,96.1573638916,92.0167350769,93.2755300999,93.2755300999,[],60.0269343115,bio_motion_task,001,999,40,
22,0,22,0,Playtennis,"(0, 100, 0)",0,0,down,0,100.357489824,96.5081377029,97.546589613,97.546589613,1.03497099876,60.0269343115,bio_motion_task,001,999,40,
23,0,23,0,Crawl_Control,"(255, 0, 0)",1,1,[],0,104.941754818,100.533953905,102.043856859,102.043856859,[],60.0269343115,bio_motion_task,001,999,40,
24,0,24,0,Drive_Control,"(255, 0, 0)",1,1,[],0,109.159356833,105.348577976,106.376449823,106.376449823,[],60.0269343115,bio_motion_task,001,999,40,
25,0,25,0,Spade_Control,"(255, 0, 0)",1,1,[],0,113.009769917,109.354510069,110.120646,110.120646,[],60.0269343115,bio_motion_task,001,999,40,
26,0,26,0,Mow,"(255, 0, 0)",1,0,[],0,117.393803835,113.155776024,114.480249882,114.480249882,[],60.0269343115,bio_motion_task,001,999,40,
27,0,27,0,Playtennis_Control,"(255, 0, 0)",1,1,[],0,121.727752924,117.745664835,118.916931868,118.916931868,[],60.0269343115,bio_motion_task,001,999,40,
28,0,28,0,Cycle,"(255, 0, 0)",1,0,[],0,125.528044939,121.965551853,122.660465956,122.660465956,[],60.0269343115,bio_motion_task,001,999,40,
29,0,29,0,Drive,"(255, 0, 0)",0,0,[],0,130.245548964,125.97367382,127.464818001,127.464818001,[],60.0269343115,bio_motion_task,001,999,40,
30,0,30,0,Crawl,"(255, 0, 0)",0,0,[],0,134.147450924,130.421495914,131.230391741,131.230391741,[],60.0269343115,bio_motion_task,001,999,40,
31,0,31,0,Cycle_Control,"(255, 0, 0)",1,1,[],0,138.813418865,134.435115099,135.96983695,135.96983695,[],60.0269343115,bio_motion_task,001,999,40,
32,0,32,0,Playpool,"(0, 100, 0)",0,0,down,0,143.631124973,139.232892752,140.844593763,140.844593763,0.954535961151,60.0269343115,bio_motion_task,001,999,40,
33,0,33,0,Jump_Control,"(255, 0, 0)",1,1,[],0,148.414563894,143.77741003,145.500968218,145.500968218,[],60.0269343115,bio_motion_task,001,999,40,
34,0,34,0,Sweep,"(255, 0, 0)",0,0,[],0,152.781963825,148.556858063,149.866029024,149.866029024,[],60.0269343115,bio_motion_task,001,999,40,
35,0,35,0,Pump_Control,"(255, 0, 0)",1,1,[],0,156.58228302,152.979529858,153.694530964,153.694530964,[],60.0269343115,bio_motion_task,001,999,40,
36,0,36,0,Peddle,"(0, 100, 0)",0,0,down,0,160.416152954,156.740966082,157.491952181,157.491952181,0.85147690773,60.0269343115,bio_motion_task,001,999,40,
37,0,37,0,Playpool_Control,"(0, 100, 0)",1,1,down,0,164.483206034,160.932647943,161.75365901,161.75365901,0.952718019485,60.0269343115,bio_motion_task,001,999,40,
38,0,38,0,Salute,"(0, 100, 0)",1,0,down,0,168.600646019,164.816561937,165.780480862,165.780480862,1.18515396118,60.0269343115,bio_motion_task,001,999,40,
39,0,39,0,Chop,"(255, 0, 0)",0,0,[],0,172.751250982,168.763487816,169.84576869,169.84576869,[],60.0269343115,bio_motion_task,001,999,40,
