trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,file,color,angle,bio_control,key_response.keys,key_response.corr,globalClock,fix_cross_starttime,dot_stim_starttime,response_starttime,key_response.rt,frameRate,expName,session,participant,Number of Trials,
0,0,0,0,Drink,"(255, 0, 0)",1,0,[],0,4.17808389664,0.263246774673,1.82288265228,1.82288265228,[],60.00057221,bio_motion_task,001,999,40,
1,0,1,0,Pump_Control,"(0, 100, 0)",1,1,[],0,7.86584091187,4.37020492554,5.43820595741,5.43820595741,[],60.00057221,bio_motion_task,001,999,40,
2,0,2,0,Stir,"(0, 100, 0)",0,0,[],0,12.1783339977,7.98423600197,9.7348048687,9.7348048687,[],60.00057221,bio_motion_task,001,999,40,
3,0,3,0,Chop_Control,"(0, 100, 0)",1,1,[],0,16.4884090424,12.3396611214,14.0779340267,14.0779340267,[],60.00057221,bio_motion_task,001,999,40,
4,0,4,0,Playpool,"(0, 100, 0)",0,0,[],0,21.1467030048,16.9025738239,18.8671147823,18.8671147823,[],60.00057221,bio_motion_task,001,999,40,
5,0,5,0,Paint,"(0, 100, 0)",1,0,[],0,26.14752388,21.3247549534,23.7496469021,23.7496469021,[],60.00057221,bio_motion_task,001,999,40,
6,0,6,0,Playpool_Control,"(255, 0, 0)",1,1,[],0,30.7643420696,26.5710880756,28.4902648926,28.4902648926,[],60.00057221,bio_motion_task,001,999,40,
7,0,7,0,Stir_Control,"(255, 0, 0)",1,1,[],0,34.9650828838,30.8834469318,32.5384230614,32.5384230614,[],60.00057221,bio_motion_task,001,999,40,
8,0,8,0,Salute,"(255, 0, 0)",1,0,[],0,38.7157468796,35.3001451492,36.3856370449,36.3856370449,[],60.00057221,bio_motion_task,001,999,40,
9,0,9,0,Paint_Control,"(255, 0, 0)",1,1,[],0,43.2162399292,38.8727030754,40.8122169971,40.8122169971,[],60.00057221,bio_motion_task,001,999,40,
10,0,10,0,Cycle_Control,"(0, 100, 0)",1,1,[],0,47.0167980194,43.4750840664,44.6601209641,44.6601209641,[],60.00057221,bio_motion_task,001,999,40,
11,0,11,0,Salute_Control,"(255, 0, 0)",1,1,[],0,50.9341080189,47.3300569057,48.6039130688,48.6039130688,[],60.00057221,bio_motion_task,001,999,40,
12,0,12,0,Wave_Control,"(255, 0, 0)",1,1,[],0,55.9182620049,51.2152688503,53.5658929348,53.5658929348,[],60.00057221,bio_motion_task,001,999,40,
13,0,13,0,Jump_Control,"(0, 100, 0)",1,1,[],0,59.9021458626,56.071393013,57.4804229736,57.4804229736,[],60.00057221,bio_motion_task,001,999,40,
14,0,14,0,Row,"(0, 100, 0)",0,0,[],0,64.0190548897,60.143198967,61.6531050205,61.6531050205,[],60.00057221,bio_motion_task,001,999,40,
15,0,15,0,Jump,"(255, 0, 0)",1,0,[],0,69.0032498837,64.1523051262,66.5836892128,66.5836892128,[],60.00057221,bio_motion_task,001,999,40,
